kategorie,wert1,wert2
wurzel,Medienbibliothek,6 Bilder / 1 Ordner
wurzel,Assets,91 Bilder / 62 Ordner
wurzel,Studio-Output,339 Bilder / 6 Ordner
verwaist,"#61 ChatGPT Image 7. Juli 2026, 11 13 50","Marketing & Design/Bilder_Bibliothek/ChatGPT_Image_7._Juli_2026,_11_13_50.png"
dublette,octovis_motion_demo (1).gif,"Assets, Studio-Output"
dublette,studio_1781936013.png,"Assets, Studio-Output"
dublette,lib_1781933173.png,"Assets, Studio-Output"
dublette,Test3_1782993557_obj0.png,"Assets, Studio-Output"
dublette,studio_1781883974.png,"Assets, Studio-Output"
dublette,lib_1781933065.png,"Assets, Studio-Output"
dublette,Test3_1782993557_snap.png,"Assets, Studio-Output"
dublette,lib_1781933178.png,"Assets, Studio-Output"
dublette,studio_1781880195.png,"Assets, Studio-Output"
dublette,studio_1782993556.png,"Assets, Studio-Output"
dublette,Test3_1782993658_obj0.png,"Assets, Studio-Output"
dublette,studio_1782993661.png,"Assets, Studio-Output"
dublette,lib_1781933166.png,"Assets, Studio-Output"
dublette,Test3_1782993557_preview.png,"Assets, Studio-Output"
dublette,Test3_1782993663_obj0.png,"Assets, Studio-Output"
dublette,Test5_preview.png,"Assets, Studio-Output"
dublette,Test3_1782993658_snap.png,"Assets, Studio-Output"
dublette,Test3_1782993663_snap.png,"Assets, Studio-Output"
dublette,Test3_1782993663_preview.png,"Assets, Studio-Output"
dublette,studio_1783421918.png,"Assets, Studio-Output"
dublette,lib_1781933191.png,"Assets, Studio-Output"
dublette,lib_1781933184.png,"Assets, Studio-Output"
dublette,lib_1781933108.png,"Assets, Studio-Output"
dublette,lib_1781933107.png,"Assets, Studio-Output"
dublette,Test3_1782993658_preview.png,"Assets, Studio-Output"
dublette,studio_1781972814.png,"Assets, Studio-Output"
dublette,test2_1782999948_preview.png,"Assets, Studio-Output"
dublette,test_gif_preview.png,"Assets, Studio-Output"
dublette,test2_1782999898_preview.png,"Assets, Studio-Output"
dublette,test_preview.png,"Assets, Studio-Output"
dublette,Test3_1782999091_preview.png,"Assets, Studio-Output"
dublette,test2_1783000000_preview.png,"Assets, Studio-Output"
dublette,Test3_1782999099_preview.png,"Assets, Studio-Output"
